float_num,cycle,DATE,juld,lat,lon,MLD_D,MLD_T,SSH,EDDY
4903622,1,05-Oct-2021 21:49:49,26210.9096,24.797,-93.388,42.17,43.99,33.1599,3
4903622,2,16-Oct-2021 05:32:47,26221.2311,23.797,-93.581,55.88,55.88,33.9049,3
4903622,3,26-Oct-2021 13:00:13,26231.5418,23.561,-93.332,50.23,50.23,26.5329,2
4903622,4,05-Nov-2021 20:38:46,26241.8603,24.028,-92.724,50.53,51.63,19.026,2
4903622,5,16-Nov-2021 04:29:39,26252.1873,24.38,-92.041,60.3,62,19.1029,2
4903622,6,26-Nov-2021 12:17:48,26262.5124,24.348,-91.595,25.98,65.68,19.8441,2
4903622,7,06-Dec-2021 19:54:20,26272.8294,23.879,-91.895,36.04,61.91,18.5689,2
4903622,8,17-Dec-2021 03:15:05,26283.1355,23.43,-92.122,68.08,70.28,21.2624,2
4903622,9,27-Dec-2021 10:36:53,26293.4423,23.659,-91.78,78.39,80.09,17.713,2
4903622,10,06-Jan-2022 17:52:35,26303.7448,24.337,-92.067,77.79,79.79,16.1774,2
4903622,11,17-Jan-2022 01:23:18,26314.0578,24.438,-92.334,110.29,110.29,24.092,2
4903622,12,27-Jan-2022 09:23:43,26324.3915,25.065,-91.952,84.27,84.27,2.95935,2
4903622,13,06-Feb-2022 16:35:42,26334.6915,24.994,-90.698,111.57,107.81,23.0153,2
4903622,14,17-Feb-2022 00:03:45,26345.0026,25.597,-90.993,91.71,96.24,35.5367,3
4903622,15,27-Feb-2022 07:29:23,26355.3121,25.61,-90.514,48.11,64.11,37.2349,3
4903622,16,09-Mar-2022 15:15:35,26365.6358,25.497,-90.02,30.04,30.04,21.6085,2
4903622,17,19-Mar-2022 23:02:36,26375.9601,24.803,-89.423,12.07,26.11,34.1522,3
4903622,18,30-Mar-2022 06:14:22,26386.26,24.353,-89.468,34.07,36.07,15,2
4903622,19,09-Apr-2022 13:26:10,26396.5598,24.681,-89.354,46.14,46.14,11.982,2
4903622,20,19-Apr-2022 21:07:53,26406.8805,25.021,-89.901,23.9,28,13.7533,2
4903622,21,30-Apr-2022 04:27:13,26417.1856,25.331,-90.682,15.95,15.95,8.13252,2
4903622,22,10-May-2022 11:49:28,26427.4927,24.878,-90.799,13.98,13.98,16.7494,2
4903622,23,20-May-2022 19:44:53,26437.8228,25.315,-91.052,16.11,24.41,14.4909,2
4903622,24,31-May-2022 03:32:34,26448.1476,25.252,-91.203,24.08,24.08,16.0958,2
4903622,25,10-Jun-2022 11:25:43,26458.4762,24.948,-91.335,14.09,23.99,20.678,2
4903622,26,20-Jun-2022 18:59:42,26468.7915,25.146,-91.569,18.09,31.99,13.1746,2
4903622,27,01-Jul-2022 03:09:09,26479.1314,25.191,-91.462,15.88,23.58,7.98464,2
4903622,28,11-Jul-2022 10:39:20,26489.444,25.272,-91.053,11.78,13.98,16.5473,2
4903622,29,21-Jul-2022 18:20:12,26499.764,25.106,-91.257,17.15,20.63,-3.67621,2
4903622,30,01-Aug-2022 02:13:58,26510.093,25.487,-90.576,16.08,38.38,7.97152,2
4903622,31,11-Aug-2022 09:53:48,26520.4124,25.482,-90.246,32.03,38.06,42.7848,3
4903622,32,21-Aug-2022 17:59:18,26530.7495,25.002,-90.813,14.25,20.05,5.66415,2
4903622,33,01-Sep-2022 01:38:35,26541.0685,25.488,-90.362,11.45,11.45,6.70407,2
4903622,34,11-Sep-2022 09:24:47,26551.3922,25.516,-90.11,21.89,27.83,30.5755,3
4903622,35,21-Sep-2022 17:05:57,26561.7125,25.207,-90.636,24.1,27.03,9.62547,2
4903622,36,02-Oct-2022 01:04:00,26572.0444,25.528,-91.287,21.85,55.95,40.3972,3
4903622,37,02-Oct-2022 14:52:36,26572.6199,25.667,-91.392,51.8,51.8,49.6822,3
4903622,38,03-Oct-2022 04:25:12,26573.1842,25.78,-91.448,61.8,66.04,45.9639,3
4903622,39,03-Oct-2022 18:04:43,26573.7533,25.891,-91.485,51.37,53.87,49.7621,3
4903622,40,04-Oct-2022 07:37:05,26574.3174,25.986,-91.523,61.46,64.16,49.9176,3
4903622,41,14-Oct-2022 15:10:00,26584.6319,26.248,-91.704,20.03,71.47,56.7248,3
4903622,42,24-Oct-2022 22:29:23,26594.9371,26.388,-92.034,31.37,50.25,6.44701,2
4903622,43,04-Nov-2022 06:06:57,26605.2548,26.672,-91.866,39.95,65.95,21.9111,2
4903622,44,14-Nov-2022 13:31:46,26615.5637,26.575,-91.898,83.46,83.46,28.1805,2
4903622,45,24-Nov-2022 20:15:16,26625.8439,26.819,-91.948,46.06,84.25999,25.7206,2
4903622,46,05-Dec-2022 02:57:58,26636.1236,26.947,-91.778,16.1,26.1,14.8266,2
4903622,47,15-Dec-2022 10:10:16,26646.4238,26.919,-91.837,51.92,51.92,8.35903,2
4903622,48,25-Dec-2022 17:43:04,26656.7382,26.927,-92.006,70.56,71.86,-1.48955,2
4903622,49,05-Jan-2023 00:28:47,26667.02,26.847,-92.266,29.92,45.92,0.287149,2
4903622,50,15-Jan-2023 08:02:53,26677.3353,26.591,-92.354,31.92,36.05,15.087,2
4903622,51,25-Jan-2023 15:29:38,26687.6456,26.137,-92.74,114.32,114.32,33.4378,3
4903622,52,04-Feb-2023 22:40:51,26697.945,26.048,-92.522,117.82,117.82,23.3537,2
4903622,53,15-Feb-2023 05:57:38,26708.2484,25.448,-92.006,37.97,61.84,6.40749,2
4903622,54,25-Feb-2023 13:11:52,26718.5499,25.7,-91.843,38.1,48.1,8.00591,2
